#TYPE System.Management.Automation.PSCustomObject
"Name","Quality","Rarity","Slot","Hero","Availibility","Descriptor","Link"
"Envisioning Phantom Lancer Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6299301990"
"Envisioning Tidehunter Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6299301991"
"Envisioning Tidehunter Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6299299367"
"Envisioning Weaver Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6299300620"
"Envisioning Weaver Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6299300621"
"Envisioning Witch Doctor Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6299303374"
"Envisioning Witch Doctor Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6299304149"
"Fires of Vashundol Loading Screen","Standard"," Common"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706373874"
"Fires of Vashundol Loading Screen","Standard"," Common"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706374646"
"Flowing Entropy Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706376301"
"Flowing Entropy Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706377739"
"HUD of the Burning Scale","Standard"," Uncommon"," HUD Skin"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6588438174"
"HUD of the Burning Scale","Standard"," Uncommon"," HUD Skin"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6588438173"
"erpent of the Emerald Sea Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6677937985"
"erpent of the Emerald Sea Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_5484988369"
"Effigy Block of The International 2015","Standard"," Rare"," N/A"," Other"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6295018771"
"Effigy Block of The International 2015","Standard"," Rare"," N/A"," Other"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_5484988357"
"Winter 2016 Loading Screen I","Standard"," Uncommon"," Loading Screen"," Other"," Tradable",,"http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_7997700665"
"Winter 2016 Loading Screen I","Standard"," Uncommon"," Loading Screen"," Other"," Tradable",,"http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_7807017427"
"Swine Arsenal","Inscribed"," Legendary"," Arms"," Techies"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11105612184"
"Swine Arsenal","Inscribed"," Legendary"," Arms"," Techies"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11105566742"
"Artificer's Chisel","Standard"," Uncommon"," N/A"," Other"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11039225082"
"Artificer's Chisel","Standard"," Uncommon"," N/A"," Other"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11105571203"
"Prisoner's Anchor","Auspicious"," Mythical"," Armor"," Alchemist"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11005073786"
"Prisoner's Anchor","Auspicious"," Mythical"," Armor"," Alchemist"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11004805049"
"Armor of the Mage Slayer","Standard"," Common"," Armor"," Anti-Mage"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11004734279"
"Armor of the Mage Slayer","Standard"," Common"," Armor"," Anti-Mage"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11004640308"
"parrowhawk Hood","Standard"," Uncommon"," Head"," Windranger"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11004639451"
"parrowhawk Hood","Standard"," Uncommon"," Head"," Windranger"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11004571220"
"Bobusang's Tobacco Fix","Standard"," Rare"," Neck"," Tusk"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11004524650"
"Bobusang's Tobacco Fix","Standard"," Rare"," Neck"," Tusk"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11004500391"
"Narcissistic Leech Loading Screen","Standard"," Common"," Loading Screen"," Other"," Tradable",,"http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11004462878"
"Narcissistic Leech Loading Screen","Standard"," Common"," Loading Screen"," Other"," Tradable",,"http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11004453508"
"Gaze of the Cyclopean Marauder","Standard"," Rare"," Head"," Sven"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11004456794"
"Gaze of the Cyclopean Marauder","Standard"," Rare"," Head"," Sven"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11004452662"
"Tailfin of the Mechalodon Interdictor","Standard"," Mythical"," Back"," Gyrocopter"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001180694"
"Tailfin of the Mechalodon Interdictor","Standard"," Mythical"," Back"," Gyrocopter"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001180693"
"Mechalodon Interdictor Loading Screen","Standard"," Mythical"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001180692"
"Mechalodon Interdictor Loading Screen","Standard"," Mythical"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001180691"
"Cutter of the Mechalodon Interdictor","Standard"," Mythical"," Misc"," Gyrocopter"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001180690"
"Cutter of the Mechalodon Interdictor","Standard"," Mythical"," Misc"," Gyrocopter"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001169503"
"Tail of the Virulent Krait","Standard"," Mythical"," Tail"," Venomancer"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001169502"
"Tail of the Virulent Krait","Standard"," Mythical"," Tail"," Venomancer"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001169501"
"pines of the Virulent Krait","Standard"," Mythical"," Shoulder"," Venomancer"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001169500"
"pines of the Virulent Krait","Standard"," Mythical"," Shoulder"," Venomancer"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001169499"
"overeign of the Kray Legions Loading Screen","Standard"," Mythical"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001136578"
"overeign of the Kray Legions Loading Screen","Standard"," Mythical"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001136577"
"Jaws of the Kray Legions","Standard"," Mythical"," Body - Head"," Sand King"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001136576"
"Jaws of the Kray Legions","Standard"," Mythical"," Body - Head"," Sand King"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001136575"
"Chitin of the Kray Legions","Standard"," Mythical"," Shoulder"," Sand King"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001136574"
"Chitin of the Kray Legions","Standard"," Mythical"," Shoulder"," Sand King"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001119577"
"Pincers of the Chitinous Stalker","Standard"," Mythical"," Weapon"," Nyx Assassin"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001119576"
"Pincers of the Chitinous Stalker","Standard"," Mythical"," Weapon"," Nyx Assassin"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001119575"
"Creeping Shadow Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001109619"
"Creeping Shadow Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001109624"
"Blade of the Creeping Shadow","Standard"," Mythical"," Weapon"," Phantom Assassin"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001109623"
"Blade of the Creeping Shadow","Standard"," Mythical"," Weapon"," Phantom Assassin"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001109622"
"Belt of the Creeping Shadow","Standard"," Mythical"," Belt"," Phantom Assassin"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001109621"
"Belt of the Creeping Shadow","Standard"," Mythical"," Belt"," Phantom Assassin"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001090259"
"Bracers of the Dread Prophet","Standard"," Mythical"," Arms"," Nature's Prophet"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001090258"
"Bracers of the Dread Prophet","Standard"," Mythical"," Arms"," Nature's Prophet"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001090257"
"quid of the Dread Prophet","Standard"," Mythical"," Head"," Nature's Prophet"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001090256"
"quid of the Dread Prophet","Standard"," Mythical"," Head"," Nature's Prophet"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001090255"
"Beard of the Dread Prophet","Standard"," Mythical"," Neck"," Nature's Prophet"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_11001090254"
"Beard of the Dread Prophet","Standard"," Mythical"," Neck"," Nature's Prophet"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998837311"
"Horn of Rising Glory","Standard"," Mythical"," Misc"," Magnus"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998837310"
"Horn of Rising Glory","Standard"," Mythical"," Misc"," Magnus"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_10998837309"
